time,ax,ay,az,aT
7.9860,-0.4884,1.1698,-0.7885,1.493
8.0050,-1.0341,0.8129,-1.2510,1.815
8.0240,-1.5989,0.4706,-1.7367,2.407
8.0440,-1.3916,-0.5351,-2.0853,2.564
8.0650,-4.2361,0.0330,-1.2291,4.411
8.0890,1.8454,-6.6778,-1.4244,7.073
8.1020,-0.4286,0.9646,-2.2751,2.508
8.1210,-2.4936,6.6108,-0.8175,7.113
8.1400,-2.0207,3.9137,3.1125,5.393
8.1600,0.7258,-2.2485,5.5108,5.996
8.1790,1.2368,-4.2266,2.3399,4.987
8.1990,0.1431,-0.4894,-3.5198,3.557
8.2220,-1.1549,3.7662,-5.6468,6.885
8.2370,-0.5990,2.5829,-2.3126,3.518
8.2560,0.0231,0.3429,1.0022,1.059
8.2760,-0.4603,0.1591,2.7310,2.774
8.2960,-0.9360,0.8645,2.5722,2.870
8.3170,-1.0091,0.8864,1.8409,2.279
8.3470,-1.1766,0.2576,1.1617,1.673
8.3540,-1.2366,-0.4000,1.0235,1.654
8.3740,-1.6270,-0.6830,1.3284,2.209
8.3930,-2.1226,-0.7823,1.8081,2.896
8.4120,-2.4577,-1.2150,1.9061,3.339
8.4320,-2.6893,-1.3578,1.5290,3.378
8.4580,-2.9374,-1.3220,1.3032,3.475
8.4700,-2.3824,-1.6416,1.5207,3.269
8.4900,-0.9459,-1.5922,1.1254,2.167
8.5100,-1.0453,0.4187,-0.5393,1.249
8.5290,-2.3193,2.8915,-2.9067,4.711
8.5480,-2.0200,2.6301,-3.6324,4.919
8.5680,-0.8747,0.9970,-2.4658,2.800
8.6020,-0.8532,0.9117,-1.3104,1.810
8.6070,-0.9960,1.2734,-0.7821,1.796
8.6250,-1.0196,0.8583,-0.4416,1.404
8.6470,-0.9497,0.3989,0.0741,1.033
8.6640,-1.2434,0.4305,0.6096,1.450
8.6830,-1.5142,0.5947,0.4901,1.699
8.7040,-1.4735,0.5436,0.2751,1.594
8.7350,-1.3320,0.7199,0.5504,1.611
8.7410,-1.3103,0.9592,0.9325,1.873
8.7630,-1.3625,1.1080,0.9517,1.997
8.7800,-1.3012,1.1606,0.3116,1.771
8.8000,-1.0299,1.1427,-1.0888,1.885
8.8200,-0.2242,0.7657,-2.5630,2.684
8.8390,0.6733,1.5601,-2.3679,2.914
8.8610,0.9321,2.7412,-0.8168,3.008
8.8860,1.4343,2.5277,0.5318,2.955
8.8970,1.7824,1.3801,0.5743,2.326
8.9160,1.9393,0.0603,-0.4702,1.996
8.9360,2.3716,-1.2099,-1.4251,3.020
8.9570,3.1103,-1.7743,-1.8285,4.021
8.9810,3.7879,-1.9990,-2.0888,4.765
8.9940,3.8679,-1.5140,-1.9759,4.600
9.0150,3.6583,-0.7371,-1.8728,4.175
9.0330,2.9572,0.3283,-1.9786,3.573
9.0530,2.4458,1.3044,-2.0792,3.465
9.0720,2.1287,1.9141,-1.3895,3.182
9.0910,1.7956,2.0205,-0.4042,2.733
9.1110,1.0449,1.7932,0.6108,2.163
9.1330,0.5321,1.3717,1.6141,2.184
9.1490,0.1182,1.0342,1.9163,2.181
9.1680,0.0490,1.0016,2.0904,2.318
9.1880,0.0650,1.2038,2.3834,2.671
9.2080,-0.3642,1.2645,2.3301,2.676
9.2390,-0.8425,0.7274,2.1530,2.424
9.2460,-0.9674,-0.6072,2.0390,2.337
9.2650,-1.0678,-1.1205,2.2060,2.695
